138,168,281,378,350
269,249,463,468,360
140,56,308,322,392
214,255,453,470,410
351,84,571,209,416
261,125,480,388,482
79,249,369,377,560
255,152,515,398,1123
246,58,370,312,1417
191,270,429,454,1521
137,132,374,330,1609
77,233,159,472,1609,有问题
47,47,175,253,1609
201,264,425,476,1697
143,261,359,423,1870
235,197,461,343,2023
312,184,499,314,2114
257,337,518,441,2114
48,94,162,309,2114
3,266,200,488,2389
109,243,253,472,2549
219,166,343,438,2639
181,214,372,449,2789
376,13,616,187,3685
411,84,558,316,3940
312,208,436,458,5487

